paper_id,title,freeze_group,task_priority,field_name,current_auto_value,auto_value_present,source_excerpt,manual_action,reviewer_notes,source_file_path,manual_review_v0_1_resolution,manual_review_v0_1_notes
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P0_freeze_blocker,methane_conversion_pct,72,yes,"d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due to the formation of carbon.","Confirm value, unit, definition, source table/figure, and matching reaction condition in the PDF.",,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P0_freeze_blocker,steam_to_carbon_ratio,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P0_freeze_blocker,temperature_c,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P1_condition_context,gas_hourly_space_velocity_h_inv,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P1_condition_context,pressure_bar,1,yes,"r) and 2:1 (40, 20 torr)) and reaction temperature under a reaction pressure of 1 atm. as expected, the reforming yield of methane is strongly dependent on both temp","Confirm value, unit, definition, source table/figure, and matching reaction condition in the PDF.",,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P1_condition_context,time_on_stream_h,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P1_condition_context,weight_hourly_space_velocity_h_inv,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P2_label_context,conversion_drop_pct_points,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P2_label_context,h2_co_ratio,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
paper_0060,Steam reforming of methane over unsupported nickel catalysts,freeze_candidate_v0_1,P2_label_context,h2_selectivity_pct,,no,"active_metal_primary=Ni; excerpt=Steam reforming of methane over unsupported nickel catalysts | active_metal_primary_loading_wt_pct=15; excerpt=ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] ha... | support_primary=Al2O3; excerpt=Steam reforming of methane over unsupported nickel catalysts | methane_conversion_pct=72; excerpt=d decreased to 40% after only 3 h. ni//h9251-al 2o3 catalysts showed an initial methane conversion of 72%, but the activity decreased gradually with time due... | stability_duration_h=100; excerpt=ratio of 1:2, the unsupported ni catalyst exhibited high catalytic ",Look up the field in the PDF; keep blank if value/unit/definition is not explicit.,,outputs\fulltext\pdf_text\paper_0060.txt,ready_for_manual_transfer_after_check,Manual review v0.1: ready for manual transfer after check; update as unsupported pure Ni / Inco Ni 255. Do not merge Table 2 coke data with 100 h stability record.
